Lambda,D_rot,score
100000.0,0.0,0.8616
100000.0,0.0,0.8621
100000.0,0.0,0.8621
100000.0,0.0,0.8703
100000.0,0.0,0.87
100000.0,0.0,0.8629
100000.0,0.0,0.8588
100000.0,0.0,0.8598
100000.0,0.0,0.858
100000.0,0.0,0.8633
100000.0,0.0,0.865
100000.0,0.0,0.864
100000.0,0.0,0.8626
100000.0,0.0,0.8638
100000.0,0.0,0.8682
100000.0,0.0,0.862
100000.0,0.0,0.8645
100000.0,0.0,0.8649
100000.0,0.0,0.866
100000.0,0.0,0.8635
100000.0,0.0,0.8669
100000.0,0.0,0.8602
100000.0,0.0,0.8674
100000.0,0.0,0.8663
100000.0,0.0,0.8663
100000.0,0.0,0.8602
100000.0,0.0,0.8637
100000.0,0.0,0.8638
100000.0,0.0,0.8653
100000.0,0.0,0.8642
100000.0,0.0,0.8642
100000.0,0.0,0.8635
100000.0,0.0,0.8642
100000.0,0.0,0.8663
100000.0,0.0,0.8562
100000.0,0.0,0.8636
100000.0,0.0,0.8615
100000.0,0.0,0.8665
100000.0,0.0,0.8663
100000.0,0.0,0.8621
100000.0,0.0,0.8632
100000.0,0.0,0.8609
100000.0,0.0,0.8655
100000.0,0.0,0.8629
100000.0,0.0,0.862
100000.0,0.0,0.8656
100000.0,0.0,0.8603
100000.0,0.0,0.8641
100000.0,0.0,0.8649
100000.0,0.0,0.8652
100000.0,0.0,0.8584
100000.0,0.0,0.8601
100000.0,0.0,0.8686
100000.0,0.0,0.8707
100000.0,0.0,0.863
100000.0,0.0,0.8564
100000.0,0.0,0.8623
100000.0,0.0,0.8626
100000.0,0.0,0.8602
100000.0,0.0,0.8659
100000.0,0.0,0.8708
100000.0,0.0,0.8604
100000.0,0.0,0.8674
100000.0,0.0,0.8622
100000.0,0.0,0.8626
100000.0,0.0,0.8673
100000.0,0.0,0.8634
100000.0,0.0,0.8647
100000.0,0.0,0.8645
100000.0,0.0,0.8667
100000.0,0.0,0.8597
100000.0,0.0,0.8679
100000.0,0.0,0.8622
100000.0,0.0,0.8629
100000.0,0.0,0.8604
100000.0,0.0,0.859
100000.0,0.0,0.8638
100000.0,0.0,0.8638
100000.0,0.0,0.8634
100000.0,0.0,0.8609
100000.0,0.0,0.8639
100000.0,0.0,0.8642
100000.0,0.0,0.8626
100000.0,0.0,0.8601
100000.0,0.0,0.8624
100000.0,0.0,0.8646
100000.0,0.0,0.8667
100000.0,0.0,0.8609
100000.0,0.0,0.8652
100000.0,0.0,0.871
100000.0,0.0,0.8672
100000.0,0.0,0.8615
100000.0,0.0,0.8645
100000.0,0.0,0.8674
100000.0,0.0,0.8603
100000.0,0.0,0.8592
100000.0,0.0,0.862
100000.0,0.0,0.8624
100000.0,0.0,0.8673
100000.0,0.0,0.8625
1000000.0,0.0,0.9505
1000000.0,0.0,0.9532
1000000.0,0.0,0.95
1000000.0,0.0,0.9492
1000000.0,0.0,0.9485
1000000.0,0.0,0.9535
1000000.0,0.0,0.9496
1000000.0,0.0,0.951
1000000.0,0.0,0.9523
1000000.0,0.0,0.9527
1000000.0,0.0,0.9524
1000000.0,0.0,0.9522
1000000.0,0.0,0.9521
1000000.0,0.0,0.9531
1000000.0,0.0,0.949
1000000.0,0.0,0.9518
1000000.0,0.0,0.9504
1000000.0,0.0,0.9545
1000000.0,0.0,0.9495
1000000.0,0.0,0.9502
1000000.0,0.0,0.9526
1000000.0,0.0,0.9536
1000000.0,0.0,0.9539
1000000.0,0.0,0.9517
1000000.0,0.0,0.9489
1000000.0,0.0,0.9506
1000000.0,0.0,0.9522
1000000.0,0.0,0.9495
1000000.0,0.0,0.9502
1000000.0,0.0,0.9498
1000000.0,0.0,0.9518
1000000.0,0.0,0.9522
1000000.0,0.0,0.9514
1000000.0,0.0,0.9522
1000000.0,0.0,0.9524
1000000.0,0.0,0.9532
1000000.0,0.0,0.9486
1000000.0,0.0,0.9537
1000000.0,0.0,0.955
1000000.0,0.0,0.9539
1000000.0,0.0,0.9533
1000000.0,0.0,0.9518
1000000.0,0.0,0.9502
1000000.0,0.0,0.9525
1000000.0,0.0,0.9507
1000000.0,0.0,0.953
1000000.0,0.0,0.9513
1000000.0,0.0,0.9523
1000000.0,0.0,0.9527
1000000.0,0.0,0.9538
1000000.0,0.0,0.9553
1000000.0,0.0,0.9467
1000000.0,0.0,0.9524
1000000.0,0.0,0.9516
1000000.0,0.0,0.9509
1000000.0,0.0,0.951
1000000.0,0.0,0.9523
1000000.0,0.0,0.9553
1000000.0,0.0,0.9509
1000000.0,0.0,0.952
1000000.0,0.0,0.9516
1000000.0,0.0,0.951
1000000.0,0.0,0.9513
1000000.0,0.0,0.9507
1000000.0,0.0,0.952
1000000.0,0.0,0.9507
1000000.0,0.0,0.9518
1000000.0,0.0,0.9487
1000000.0,0.0,0.9532
1000000.0,0.0,0.9532
1000000.0,0.0,0.9524
1000000.0,0.0,0.952
1000000.0,0.0,0.9502
1000000.0,0.0,0.9535
1000000.0,0.0,0.9521
1000000.0,0.0,0.9525
1000000.0,0.0,0.9535
1000000.0,0.0,0.9508
