time,x,y,tumble,label_true,label_pred
0.0,329.9286,-329.819,True,False,False
0.01,330.0918,-329.9346,,,
0.02,330.2472,-330.0605,,,
0.03,330.4149,-330.1695,,,
0.04,330.5972,-330.2516,,,
0.05,330.7826,-330.3268,,,
0.06,330.9635,-330.4121,,,
0.07,331.1388,-330.5084,,,
0.08,331.3195,-330.5941,,,
0.09,331.4928,-330.6939,,,
0.1,331.666,-330.79400000000004,,,
0.11,331.8439,-330.8853,,,
0.12,332.0259,-330.9683,,,
0.13,332.2107,-331.0446,,,
0.14,332.3915,-331.1303,,,
0.15,332.5693,-331.2218,,,
0.16,332.7458,-331.3159,,,
0.17,332.9199,-331.4142,,,
0.18,333.0917,-331.5166,,,
0.19,333.2685,-331.6101,,,
0.2,333.4448,-331.7046,,,
0.21,333.6247,-331.792,,,
0.22,333.8132,-331.8587,,,
0.23,334.0084,-331.9026,,,
0.24,334.2041,-331.9437,,,
0.25,334.3991,-331.9879,,,
0.26,334.5948,-332.0293,,,
0.27,334.7913,-332.0667,,,
0.28,334.9884,-332.1003,,,
0.29,335.1871,-332.1231,,,
0.3,335.3867,-332.1369,,,
0.31,335.5835,-332.1721,,,
0.32,335.781,-332.2038,,,
0.33,335.9775,-332.2412,,,
0.34,336.1745,-332.2754,,,
0.35,336.3737,-332.2941,,,
0.36,336.5727,-332.3137,,,
0.37,336.7723,-332.3261,,,
0.38,336.9723,-332.3309,,,
0.39,337.1722,-332.3325,,,
0.4,337.3721,-332.3393,,,
0.41,337.5721,-332.3391,,,
0.42,337.7721,-332.3438,,,
0.43,337.9721,-332.3419,,,
0.44,338.17199999999997,-332.3356,,,
0.45,338.37199999999996,-332.3364,,,
0.46,338.5716,-332.3477,,,
0.47,338.7696,-332.3765,,,
0.48,338.9678,-332.4031,,,
0.49,339.1661,-332.4292,,,
0.5,339.3655,-332.444,,,
0.51,339.5612,-332.4856,,,
0.52,339.7521,-332.545,,,
0.53,339.9447,-332.5991,,,
0.54,340.1371,-332.6535,,,
0.55,340.3241,-332.7244,,,
0.56,340.5052,-332.8093,,,
0.57,340.6801,-332.9064,,,
0.58,340.8624,-332.9887,,,
0.59,341.0326,-333.0936,,,
0.6,341.1982,-333.2058,,,
0.61,341.3692,-333.3095,,,
0.62,341.5436,-333.4074,,,
0.63,341.7195,-333.5025,,,
0.64,341.8865,-333.6127,,,
0.65,342.0381,-333.7431,,,
0.66,342.1874,-333.8762,,,
0.67,342.3251,-334.0213,,,
0.68,342.4723,-334.1567,,,
0.69,342.6153,-334.2964,,,
0.7,342.7391,-334.4535,,,
0.71,342.8573,-334.6148,,,
0.72,342.9729,-334.7781,,,
0.73,343.0876,-334.9419,,,
0.74,343.2204,-335.0914,,,
0.75,343.3556,-335.2389,,,
0.76,343.4886,-335.3882,,,
0.77,343.6286,-335.531,,,
0.78,343.7772,-335.6649,,,
0.79,343.9321,-335.7914,,,
0.8,344.0814,-335.9245,,,
0.81,344.2274,-336.0612,,,
0.82,344.38,-336.1904,,,
0.83,344.5316,-336.3209,,,
0.84,344.676,-336.4593,,,
0.85,344.8169,-336.6012,,,
0.86,344.9662,-336.7343,,,
0.87,345.097,-336.8856,,,
0.88,345.2322,-337.033,,,
0.89,345.3734,-337.1746,,,
0.9,345.5222,-337.3083,,,
0.91,345.6639,-337.4494,,,
0.92,345.8116,-337.5843,,,
0.93,345.9643,-337.7135,,,
0.94,346.121,-337.8377,,,
0.95,346.2726,-337.9682,,,
0.96,346.4192,-338.1042,,,
0.97,346.5614,-338.2449,,,
0.98,346.6947,-338.394,,,
0.99,346.841,-338.5303,,,
1.0,346.841,-338.5303,True,False,False
1.01,346.9649,-338.6873,,,
1.02,347.1024,-338.8326,,,
1.03,347.2306,-338.9861,,,
1.04,347.3521,-339.1449,,,
1.05,347.4731,-339.3042,,,
1.06,347.6061,-339.4535,,,
1.07,347.7525,-339.5898,,,
1.08,347.8966,-339.7285,,,
1.09,348.0418,-339.8661,,,
1.1,348.1839,-340.0067,,,
1.11,348.3224,-340.151,,,
1.12,348.4373,-340.3147,,,
1.13,348.55300000000005,-340.4779,,,
1.14,348.6784,-340.6337,,,
1.15,348.8059,-340.7878,,,
1.16,348.9326,-340.9425,,,
1.17,349.0604,-341.0964,,,
1.18,349.1843,-341.2534,,,
1.19,349.3043,-341.4133,,,
1.2,349.4192,-341.577,,,
1.21,349.5261,-341.7461,,,
1.22,349.6374,-341.9122,,,
1.23,349.7656,-342.0657,,,
1.24,349.8944,-342.2188,,,
1.25,350.0295,-342.3662,,,
1.26,350.1504,-342.5256,,,
1.27,350.2716,-342.6847,,,
1.28,350.3995,-342.8384,,,
1.29,350.5431,-342.9776,,,
1.3,350.7014,-343.0998,,,
1.31,350.8487,-343.2351,,,
1.32,350.9875,-343.3791,,,
1.33,351.1284,-343.52099999999996,,,
1.34,351.2561,-343.675,,,
1.35,351.3889,-343.8246,,,
1.36,351.5089,-343.9845,,,
1.37,351.6321,-344.1421,,,
1.38,351.7564,-344.2988,,,
1.39,351.8761,-344.459,,,
1.4,351.9951,-344.6198,,,
1.41,352.1013,-344.7892,,,
1.42,352.2024,-344.9618,,,
1.43,352.2647,-345.1518,,,
1.44,352.3127,-345.346,,,
1.45,352.3714,-345.5372,,,
1.46,352.43199999999996,-345.7278,,,
1.47,352.4887,-345.9196,,,
1.48,352.5373,-346.1136,,,
1.49,352.5789,-346.3092,,,
1.5,352.6191,-346.5051,,,
1.51,352.6409,-346.7039,,,
1.52,352.6503,-346.9037,,,
1.53,352.6704,-347.1027,,,
1.54,352.7056,-347.2996,,,
1.55,352.7229,-347.4988,,,
1.56,352.7413,-347.69800000000004,,,
1.57,352.7733,-347.8954,,,
1.58,352.8085,-348.0923,,,
1.59,352.8462,-348.2887,,,
1.6,352.8921,-348.4834,,,
1.61,352.9459,-348.676,,,
1.62,353.0109,-348.8651,,,
1.63,353.0892,-349.0492,,,
1.64,353.1809,-349.2269,,,
1.65,353.2733,-349.4043,,,
1.66,353.3492,-349.5893,,,
1.67,353.4222,-349.7755,,,
1.68,353.5015,-349.9591,,,
1.69,353.5846,-350.14099999999996,,,
1.7,353.6464,-350.3312,,,
1.71,353.7056,-350.5223,,,
1.72,353.7694,-350.7118,,,
1.73,353.8247,-350.904,,,
1.74,353.8725,-351.0982,,,
1.75,353.9244,-351.2914,,,
1.76,353.976,-351.4846,,,
1.77,354.0319,-351.6767,,,
1.78,354.0868,-351.869,,,
1.79,354.1409,-352.0615,,,
1.8,354.167,-352.2598,,,
1.81,354.19300000000004,-352.4581,,,
1.82,354.2193,-352.6564,,,
1.83,354.25800000000004,-352.8526,,,
