time,x,y,tumble,label_true,label_pred
0.0,-353.1192,-297.71,True,False,False
0.01,-353.1538,-297.5131,,,
0.02,-353.1967,-297.3177,,,
0.03,-353.2329,-297.121,,,
0.04,-353.2961,-296.9313,,,
0.05,-353.3479,-296.7381,,,
0.06,-353.4074,-296.5471,,,
0.07,-353.4815,-296.3614,,,
0.08,-353.55199999999996,-296.1742,,,
0.09,-353.6208,-295.9864,,,
0.1,-353.6853,-295.7971,,,
0.11,-353.7616,-295.6122,,,
0.12,-353.8243,-295.4223,,,
0.13,-353.8971,-295.236,,,
0.14,-353.9754,-295.052,,,
0.15,-354.0519,-294.8672,,,
0.16,-354.1204,-294.6793,,,
0.17,-354.176,-294.4872,,,
0.18,-354.2339,-294.2957,,,
0.19,-354.2844,-294.1022,,,
0.2,-354.3441,-293.9114,,,
0.21,-354.4109,-293.7228,,,
0.22,-354.4802,-293.5352,,,
0.23,-354.5425,-293.3452,,,
0.24,-354.5652,-293.1465,,,
0.25,-354.6063,-292.9507,,,
0.26,-354.6576,-292.7574,,,
0.27,-354.6968,-292.5613,,,
0.28,-354.7211,-292.3628,,,
0.29,-354.7338,-292.1632,,,
0.3,-354.7529,-291.9641,,,
0.31,-354.775,-291.7653,,,
0.32,-354.7938,-291.5662,,,
0.33,-354.7923,-291.3662,,,
0.34,-354.7823,-291.1665,,,
0.35,-354.7548,-290.9684,,,
0.36,-354.7445,-290.7686,,,
0.37,-354.7409,-290.5687,,,
0.38,-354.7397,-290.3687,,,
0.39,-354.7328,-290.1688,,,
0.4,-354.7119,-289.9699,,,
0.41,-354.6929,-289.7708,,,
0.42,-354.6708,-289.572,,,
0.43,-354.6439,-289.3738,,,
0.44,-354.6033,-289.178,,,
0.45,-354.57199999999995,-288.9805,,,
0.46,-354.5618,-288.7807,,,
0.47,-354.5772,-288.5813,,,
0.48,-354.579,-288.3813,,,
0.49,-354.5772,-288.1813,,,
0.5,-354.5749,-287.9814,,,
0.51,-354.5551,-287.7823,,,
0.52,-354.5353,-287.5833,,,
0.53,-354.529,-287.3834,,,
0.54,-354.5068,-287.1847,,,
0.55,-354.4768,-286.9869,,,
0.56,-354.4533,-286.7883,,,
0.57,-354.4119,-286.5926,,,
0.58,-354.3774,-286.3956,,,
0.59,-354.3437,-286.1985,,,
0.6,-354.2969,-286.0041,,,
0.61,-354.2483,-285.81,,,
0.62,-354.191,-285.6184,,,
0.63,-354.1413,-285.4247,,,
0.64,-354.0886,-285.2318,,,
0.65,-354.0207,-285.0436,,,
0.66,-353.9554,-284.8546,,,
0.67,-353.8891,-284.6659,,,
0.68,-353.8244,-284.4767,,,
0.69,-353.7581,-284.288,,,
0.7,-353.6831,-284.1026,,,
0.71,-353.6118,-283.9157,,,
0.72,-353.5507,-283.7253,,,
0.73,-353.4741,-283.5405,,,
0.74,-353.4197,-283.3481,,,
0.75,-353.3706,-283.1542,,,
0.76,-353.3287,-282.9586,,,
0.77,-353.2813,-282.7643,,,
0.78,-353.2428,-282.5681,,,
0.79,-353.1913,-282.3748,,,
0.8,-353.135,-282.1829,,,
0.81,-353.0732,-281.9927,,,
0.82,-353.0118,-281.8023,,,
0.83,-352.9496,-281.6123,,,
0.84,-352.8853,-281.4229,,,
0.85,-352.8193,-281.2341,,,
0.86,-352.7445,-281.0486,,,
0.87,-352.659,-280.8678,,,
0.88,-352.587,-280.6812,,,
0.89,-352.5239,-280.4914,,,
0.9,-352.4675,-280.2995,,,
0.91,-352.395,-280.1131,,,
0.92,-352.3235,-279.9263,,,
0.93,-352.2624,-279.7359,,,
0.94,-352.2062,-279.54400000000004,,,
0.95,-352.1554,-279.3505,,,
0.96,-352.1073,-279.1564,,,
0.97,-352.0742,-278.9592,,,
0.98,-352.0293,-278.7643,,,
0.99,-351.9796,-278.5705,,,
1.0,-351.9205,-278.3795,False,True,True
1.01,-351.861,-278.1885,False,True,True
1.02,-351.7922,-278.0007,False,True,True
1.03,-351.73900000000003,-277.8079,False,True,True
1.04,-351.6919,-277.6136,False,True,True
1.05,-351.6495,-277.4181,False,True,True
1.06,-351.6015,-277.2239,False,True,True
1.07,-351.5533,-277.0298,False,True,True
1.08,-351.4974,-276.8378,False,True,True
1.09,-351.4445,-276.6449,False,True,True
1.1,-351.3636,-276.462,False,True,True
1.11,-351.2673,-276.2868,False,True,True
1.12,-351.164,-276.1155,False,True,True
1.13,-351.0833,-275.9325,False,True,True
1.14,-350.9982,-275.7515,False,True,True
1.15,-350.92400000000004,-275.5658,False,True,True
1.16,-350.8277,-275.3905,False,True,True
1.17,-350.7219,-275.2207,False,True,True
1.18,-350.61,-275.055,False,True,True
1.19,-350.5096,-274.882,False,True,True
1.2,-350.4242,-274.7011,False,True,True
1.21,-350.3375,-274.5209,False,True,True
1.22,-350.2489,-274.3416,False,True,True
1.23,-350.1481,-274.1689,False,True,True
