id_succ,time_to_target
0,56.95
1,30.41
2,65.99
3,45.85
4,37.52
5,70.64
6,36.13
7,80.64
8,65.66
9,41.13
11,94.57
12,73.24
13,124.17
14,6.99
15,20.95
16,10.25
17,46.92
19,42.68
20,30.0
21,68.46
22,35.6
23,65.99
24,46.31
25,58.37
26,15.59
27,37.57
28,28.04
29,43.01
30,18.16
31,49.45
32,22.51
33,32.85
34,9.91
35,27.05
36,38.91
37,37.45
38,31.34
39,40.75
40,25.57
41,98.48
42,42.84
43,20.19
44,48.43
45,40.62
46,42.87
47,18.02
48,30.91
49,19.32
50,45.42
51,23.39
52,34.04
53,18.99
54,38.18
55,16.24
56,59.36
57,15.69
58,63.91
59,34.78
60,13.43
61,40.16
62,39.5
63,18.17
64,13.43
65,25.32
66,51.12
67,42.99
68,34.17
69,27.25
70,38.18
71,61.86
72,43.2
73,38.94
74,67.87
75,7.46
76,22.86
77,17.35
78,39.71
79,43.13
80,31.69
81,26.78
82,12.14
83,58.36
84,42.79
85,32.75
86,64.25
87,22.23
88,37.09
89,61.77
90,32.95
91,41.82
92,31.93
93,30.69
94,71.72
95,19.95
96,50.21
97,3.48
98,55.99
99,18.51
100,24.94
101,36.26
102,47.48
103,51.84
104,32.08
105,56.37
106,33.07
107,32.04
108,37.34
109,120.91
110,60.29
111,33.76
112,51.67
113,50.82
114,61.98
115,44.47
116,64.7
117,44.96
118,68.23
119,52.49
120,53.65
121,54.32
122,57.11
123,58.45
124,29.43
125,43.89
126,11.35
127,32.87
128,27.37
129,57.9
130,59.61
131,30.45
132,29.79
133,36.56
134,52.42
135,61.64
136,53.97
137,27.06
138,36.88
139,27.41
140,31.03
141,35.74
142,50.14
144,29.36
145,32.63
146,22.32
147,56.44
148,32.66
149,41.29
150,21.9
151,72.29
152,31.73
153,26.6
154,29.7
155,52.86
156,48.27
157,28.25
158,21.49
159,15.54
160,25.29
161,39.44
162,54.89
163,60.69
165,73.56
166,9.56
167,35.0
168,60.39
169,25.02
170,39.63
171,61.85
172,16.63
173,4.88
174,57.33
175,56.92
176,22.85
177,59.25
178,43.68
179,12.25
180,93.56
181,46.47
182,119.47
183,27.18
184,70.66
186,39.23
187,46.65
188,34.06
189,34.15
190,66.91
191,52.08
192,16.21
193,63.05
194,43.71
195,24.91
196,29.53
197,61.74
198,17.12
199,37.43
200,25.87
201,27.64
202,24.64
203,35.28
204,35.84
205,34.57
206,64.34
207,29.98
208,46.32
209,37.63
210,33.27
211,25.76
212,102.61
213,46.12
214,5.9
215,73.64
216,30.78
217,22.61
218,41.63
219,35.31
220,29.38
221,28.6
222,43.77
223,37.39
224,41.14
225,113.34
226,56.8
227,17.73
228,54.81
229,52.74
230,35.82
231,21.31
232,56.96
233,28.7
234,26.94
235,28.71
236,26.78
237,38.9
238,121.86
239,77.87
241,13.5
242,59.43
243,15.55
244,42.32
245,87.26
246,66.93
247,24.66
248,20.98
249,33.56
250,31.52
251,48.96
252,45.76
253,47.28
254,51.92
255,8.7
256,31.17
257,51.56
258,38.99
259,56.73
260,25.08
261,30.61
262,7.54
263,75.77
264,31.51
265,64.03
266,54.53
267,84.38
268,20.24
269,40.01
270,39.65
271,69.59
272,58.96
273,58.02
274,33.35
275,38.59
277,91.27
278,27.36
279,31.36
280,22.79
281,37.28
282,62.51
283,69.16
284,21.52
285,42.86
286,38.11
287,41.26
288,31.13
289,63.33
290,27.83
291,53.55
292,32.82
293,36.89
294,25.79
295,32.95
296,17.35
297,42.82
298,36.23
299,82.78
300,49.87
301,40.28
302,23.37
303,31.28
304,32.76
305,42.39
306,12.65
307,40.24
308,38.86
309,15.04
310,55.43
311,47.78
312,40.04
313,16.53
314,34.99
315,19.57
316,51.07
317,70.99
318,40.01
319,29.25
320,17.63
321,24.15
322,17.1
323,58.78
324,31.04
325,44.55
326,34.43
327,53.76
328,33.27
329,28.27
330,17.81
331,35.69
332,10.7
333,46.8
334,33.82
335,43.01
336,33.34
337,24.28
338,23.93
339,29.11
340,99.82
341,34.28
342,55.42
343,38.96
344,63.82
345,14.87
346,47.76
347,20.25
348,44.68
350,24.55
351,26.4
352,107.59
353,50.11
354,39.21
355,91.31
356,80.8
357,93.25
358,32.12
359,71.32
360,58.57
361,91.08
362,39.58
363,37.57
364,64.93
365,48.31
366,35.07
367,53.53
368,48.23
369,57.52
370,34.46
371,20.52
372,44.24
373,42.24
374,46.91
375,32.51
376,82.04
378,77.28
379,39.99
380,49.09
381,31.5
382,56.21
383,38.61
384,53.11
386,42.2
387,15.24
388,35.04
389,73.66
390,9.59
391,22.25
392,50.6
393,70.27
394,26.25
395,38.78
396,100.22
397,37.35
398,10.87
399,31.21
400,51.69
401,110.03
402,8.45
403,31.03
404,57.61
405,41.34
406,22.69
407,39.14
408,36.44
409,45.65
410,22.16
411,42.93
412,37.55
413,70.2
414,39.74
415,22.72
416,20.24
417,20.9
418,42.69
419,72.57
420,90.55
421,77.43
422,74.57
423,19.05
424,24.83
425,24.12
426,103.51
427,18.34
428,60.77
429,26.28
430,13.98
431,51.31
432,35.47
433,45.31
434,46.13
435,55.52
436,73.18
437,37.11
438,92.44
439,19.27
440,37.53
442,78.61
443,28.88
444,23.32
445,17.47
446,58.21
447,68.53
448,37.05
449,77.28
450,20.74
452,26.07
453,12.0
455,50.55
456,47.06
457,5.87
458,62.46
459,46.09
460,17.28
461,33.82
462,41.12
463,22.91
464,48.19
465,33.39
466,31.73
467,16.8
468,41.39
469,24.59
470,89.76
471,73.59
472,65.1
473,73.52
475,48.13
476,44.91
478,37.97
479,31.05
480,13.4
481,16.95
482,19.51
483,23.3
484,38.14
485,29.55
486,48.82
487,145.77
488,28.01
489,32.94
490,32.52
491,25.84
492,54.39
493,32.46
494,57.84
495,49.48
496,20.2
497,20.6
498,19.39
499,33.3
500,47.16
501,23.24
502,27.3
503,56.35
504,32.29
505,40.32
506,38.78
507,64.8
508,17.43
509,28.07
510,34.46
511,44.1
512,55.39
513,72.37
514,33.31
515,38.52
516,30.33
517,83.84
518,66.46
519,86.11
520,24.28
521,73.03
522,16.44
523,115.15
524,21.05
525,19.45
526,133.45
527,96.26
528,36.36
529,19.03
530,36.02
531,35.72
532,28.96
533,17.6
534,38.19
535,36.03
536,44.5
537,49.46
538,36.67
539,37.76
540,8.77
541,61.88
542,31.8
543,43.95
544,53.06
545,16.56
546,52.54
547,35.44
548,24.46
549,31.78
550,53.62
551,31.71
552,37.68
553,47.54
554,54.93
555,14.18
556,20.27
557,22.9
558,78.84
559,41.12
560,55.52
561,36.81
562,45.05
563,32.22
564,49.89
565,49.56
566,26.59
568,24.01
569,60.65
570,33.83
571,37.7
572,26.2
573,38.11
575,16.69
576,40.65
577,63.17
578,51.35
579,63.35
580,109.0
581,31.85
582,22.47
583,32.86
584,80.69
585,45.17
586,24.76
587,11.69
588,28.56
589,39.07
590,53.14
591,37.58
592,73.19
593,41.89
594,26.18
595,59.72
596,82.47
597,32.11
598,24.7
599,62.67
600,18.26
601,34.8
602,47.16
603,13.07
604,42.82
605,33.19
606,40.69
607,18.94
608,28.38
609,23.69
610,52.67
611,66.98
612,38.27
613,16.49
614,13.99
615,33.32
616,63.49
617,33.79
618,30.74
619,52.98
620,31.4
621,43.36
622,89.79
623,57.89
624,66.75
625,58.43
627,35.71
628,62.44
629,20.53
630,7.06
631,18.13
632,21.11
633,44.15
634,101.75
635,36.99
636,86.28
637,12.55
638,44.02
639,41.53
640,69.13
641,38.44
642,40.52
643,96.74
644,22.96
645,42.3
646,40.65
647,37.46
648,53.22
649,33.98
650,27.28
651,46.33
652,16.26
653,20.82
654,53.24
655,6.3
656,30.29
657,10.08
658,59.24
659,40.4
660,32.04
662,82.21
663,23.99
664,45.32
665,41.3
666,48.87
667,52.35
668,29.83
669,27.67
670,86.04
671,53.43
672,45.69
673,47.49
674,62.32
675,35.93
676,36.09
677,21.61
678,64.1
679,20.52
680,41.06
681,64.52
682,36.5
683,24.82
684,13.59
685,53.32
686,133.88
687,75.44
688,46.44
689,25.06
690,47.33
691,20.45
692,32.18
693,106.93
694,55.85
695,36.51
696,15.92
697,26.95
698,62.14
699,36.26
700,35.66
701,42.66
702,12.5
703,23.53
