id_succ,time_to_target
0,146.49
1,58.29
2,53.39
3,63.09
4,176.94
5,100.07
6,53.01
9,65.29
11,34.0
12,155.75
14,38.22
15,58.83
16,24.9
17,97.32
21,107.87
22,48.12
23,113.54
24,61.05
26,39.52
28,87.09
29,101.26
30,27.43
31,63.33
32,55.31
34,26.72
35,121.39
36,90.09
37,41.12
39,76.52
40,53.09
41,151.81
42,149.72
43,35.77
46,28.75
47,67.85
48,119.72
49,92.88
50,91.64
51,106.37
53,41.06
54,60.55
55,62.81
56,176.97
57,35.71
58,120.14
59,57.86
60,28.38
61,75.04
62,135.56
63,56.54
64,53.98
65,97.8
67,28.78
68,154.78
69,61.26
70,102.45
71,47.91
73,128.27
75,25.85
76,66.97
77,95.11
78,134.79
79,44.98
80,94.64
81,91.1
82,43.46
85,59.37
87,77.47
88,111.09
90,30.56
91,108.74
92,147.3
93,194.15
94,41.19
95,84.76
96,135.24
97,15.27
99,43.9
100,80.03
101,105.32
102,142.08
104,87.02
106,101.65
107,116.07
108,56.58
109,72.43
110,65.5
112,145.41
113,107.3
115,111.93
117,100.44
119,79.41
120,107.91
121,63.31
125,83.85
126,36.71
127,69.22
128,123.54
129,45.69
130,101.04
131,97.52
132,32.29
133,38.39
134,57.9
135,48.96
136,61.97
138,95.55
139,122.04
140,74.19
141,77.05
142,85.97
144,109.42
145,120.71
146,42.15
147,113.8
149,195.83
150,69.94
151,120.31
152,51.76
153,89.08
154,49.55
155,68.88
156,64.85
157,81.18
158,87.8
159,19.53
160,66.48
161,56.74
163,157.4
166,5.29
167,82.71
168,139.76
169,72.18
170,94.6
171,6.72
172,156.55
173,47.17
175,70.5
176,24.66
179,37.1
180,37.96
181,153.23
183,55.42
184,196.26
186,148.84
189,56.13
190,22.73
191,116.33
192,55.54
194,78.11
195,137.91
196,54.0
197,42.21
198,13.51
199,97.38
200,109.09
201,95.67
202,110.29
203,47.15
204,13.1
205,14.57
207,83.44
208,52.62
211,53.55
212,98.85
213,82.82
214,14.7
215,129.25
216,100.16
217,126.1
221,109.52
222,86.98
224,53.19
226,111.09
227,44.76
229,75.7
230,75.67
231,35.25
233,8.97
234,30.48
235,87.02
236,94.24
237,56.62
238,102.38
241,91.56
243,28.19
244,103.73
245,86.1
246,92.68
247,88.58
248,32.23
249,86.21
250,86.44
252,108.03
255,86.2
256,188.12
257,156.03
259,179.82
260,43.98
261,68.65
262,69.96
264,68.59
265,153.59
266,30.4
268,31.16
269,106.6
272,81.17
273,123.29
274,40.34
275,165.89
277,79.34
278,60.49
280,80.42
281,132.56
282,190.14
283,14.84
284,103.94
285,139.21
288,125.25
289,41.03
290,76.34
291,71.67
292,132.64
293,60.55
294,103.45
295,45.2
296,49.33
297,137.12
302,188.67
303,58.65
304,64.36
305,130.32
306,59.43
307,12.86
309,10.26
310,83.05
311,23.3
312,55.82
313,93.07
315,67.9
316,107.71
317,111.19
319,162.18
320,33.28
321,57.07
322,27.65
324,49.45
325,110.94
326,147.2
327,91.87
328,114.17
329,143.21
330,114.04
331,153.53
332,39.23
333,118.31
334,100.3
336,67.84
337,77.27
338,53.59
339,74.34
340,40.35
341,72.98
342,135.8
343,44.7
344,172.54
345,77.57
346,73.26
347,57.41
348,56.19
350,78.32
351,11.79
352,78.86
353,197.54
354,124.34
355,59.67
356,62.52
357,14.78
358,47.49
359,175.02
360,63.02
361,159.22
362,89.93
363,62.75
365,75.0
367,89.96
368,171.49
370,111.2
371,146.8
373,58.2
374,118.24
375,47.25
376,128.99
378,105.52
380,183.52
381,64.95
383,80.09
384,152.32
387,43.65
388,72.2
389,63.21
390,19.42
391,96.11
392,70.63
393,146.7
394,73.21
396,86.28
397,61.94
398,89.68
399,40.63
400,153.4
401,127.61
402,39.9
406,41.42
407,170.98
408,148.79
409,21.41
410,15.1
411,74.58
412,41.86
413,43.44
414,83.15
415,54.24
416,111.44
417,51.16
418,34.47
419,160.78
422,75.99
423,127.16
424,66.73
425,100.91
427,98.03
429,85.44
430,45.95
431,68.3
432,91.03
433,136.26
434,80.45
435,96.86
436,97.99
437,130.62
439,64.39
440,81.84
441,122.41
443,48.81
444,23.48
445,82.47
446,85.79
449,107.28
450,51.88
451,141.78
452,59.91
453,41.62
455,143.85
456,164.33
457,22.37
458,78.75
460,104.79
461,90.94
462,52.3
463,128.59
464,117.04
465,36.57
466,111.02
467,117.89
468,158.4
469,116.04
470,146.1
471,173.26
472,102.33
473,176.61
475,96.93
476,95.23
477,130.46
479,139.84
480,20.45
481,40.23
482,25.55
483,38.93
484,60.9
485,105.21
486,90.37
488,100.15
489,188.24
490,56.98
491,76.21
492,126.53
493,125.96
494,98.9
495,54.65
496,79.45
497,145.22
498,64.75
499,85.98
500,58.71
501,67.39
502,51.96
504,84.06
506,196.81
507,19.4
508,57.28
509,128.89
510,48.76
511,58.34
512,65.77
514,126.12
516,34.06
517,46.72
519,146.97
520,53.8
521,68.1
522,91.14
523,66.41
524,10.01
525,123.98
526,85.72
528,16.29
529,88.13
530,41.69
531,92.44
532,186.18
533,61.43
534,123.98
535,64.41
536,92.9
538,89.7
540,14.77
541,161.38
543,69.39
545,19.98
546,152.1
547,75.7
548,67.93
549,86.94
550,136.33
551,23.55
552,55.72
553,59.83
555,31.36
556,57.64
557,152.23
558,68.82
560,141.32
561,37.42
562,175.96
564,116.85
565,100.73
566,109.53
568,123.51
571,17.01
572,40.35
573,89.67
575,83.02
576,76.32
577,93.37
578,137.07
579,95.31
580,66.6
582,158.73
583,76.66
584,101.03
585,45.33
586,112.41
587,49.69
588,18.16
589,136.26
591,154.58
592,142.68
593,89.9
594,133.67
596,38.7
597,119.41
598,34.12
599,120.21
600,43.69
601,40.99
603,28.45
604,158.7
605,75.33
606,44.3
607,84.51
608,60.82
609,51.54
610,77.55
611,106.53
613,17.74
614,17.86
615,61.08
616,57.44
617,112.83
618,106.89
619,119.57
620,181.5
622,93.14
623,184.59
625,177.77
628,91.05
629,103.47
630,57.35
631,62.67
632,61.73
633,142.58
636,40.35
637,33.03
638,196.16
639,125.23
643,50.92
644,40.16
645,67.18
646,93.62
647,61.86
648,140.13
649,43.13
651,138.64
652,97.19
653,52.71
654,142.51
655,27.35
656,83.32
657,56.41
658,127.77
660,74.7
662,38.7
663,105.72
665,56.37
667,96.75
668,123.94
669,78.57
670,68.64
671,84.14
673,57.91
675,179.52
676,93.32
677,70.77
678,59.75
679,45.79
680,80.62
681,109.05
682,17.13
683,198.37
684,56.73
685,131.6
686,112.35
687,99.15
688,127.71
689,48.55
691,10.33
692,54.09
693,53.99
695,67.56
697,42.77
698,66.65
700,62.66
701,37.11
702,30.5
703,47.65
704,90.18
705,37.04
706,98.94
707,74.74
708,83.2
709,99.92
710,69.86
711,90.25
712,169.58
713,118.02
714,89.83
715,67.48
716,156.55
717,80.78
718,183.07
719,75.5
720,151.14
722,195.57
724,53.16
725,92.76
726,100.9
727,83.16
728,116.94
729,80.28
730,67.99
731,156.81
732,61.1
733,94.33
734,45.27
736,61.3
738,80.71
739,80.42
740,24.24
742,28.21
743,44.83
744,110.95
745,21.16
747,112.87
748,127.28
749,60.88
750,114.33
753,149.45
754,89.55
756,84.78
757,1.54
758,72.79
759,87.16
761,110.15
762,46.8
763,44.01
767,76.08
769,110.88
770,127.62
771,62.63
772,46.3
773,87.26
775,65.16
777,134.4
778,84.51
779,144.21
780,27.44
781,75.26
783,137.79
784,31.9
785,40.74
786,90.51
787,12.31
788,88.38
789,21.69
790,104.45
791,54.72
792,97.6
793,58.3
794,87.84
796,75.79
797,45.11
798,52.31
799,61.7
800,38.83
801,107.22
802,60.7
803,55.37
804,96.93
807,79.98
810,160.33
811,98.2
812,181.19
814,20.45
815,135.49
816,20.97
817,93.71
818,103.34
819,53.68
820,59.87
821,31.16
822,67.19
823,51.16
824,32.02
826,105.98
827,136.95
828,193.49
829,41.0
831,41.57
832,87.28
833,90.86
834,111.85
835,124.14
836,77.99
837,25.07
838,94.28
840,53.65
841,19.47
842,107.65
843,121.03
844,99.22
847,64.94
848,153.71
849,151.34
851,198.26
852,10.51
853,108.43
855,159.39
856,54.37
857,86.85
858,78.44
859,85.11
861,146.06
862,179.02
863,84.25
864,105.47
866,55.96
867,38.35
869,161.61
871,78.58
872,149.51
873,63.27
874,89.18
876,150.04
877,102.28
879,195.87
880,130.94
881,87.47
882,105.28
885,112.94
886,129.74
888,60.77
890,64.14
891,77.92
892,97.6
894,145.98
895,90.28
897,151.51
898,111.66
899,128.25
901,33.71
902,92.84
903,14.41
906,58.79
907,38.99
908,71.02
909,62.21
911,46.99
913,77.4
915,51.89
916,72.88
917,21.96
918,179.58
919,66.76
920,71.8
921,88.91
922,65.25
924,82.29
926,114.9
927,36.61
929,79.29
931,70.11
932,61.88
933,40.77
935,100.07
936,40.22
937,40.6
938,102.29
939,145.78
940,75.34
941,58.46
942,18.0
943,93.57
944,124.73
945,67.01
946,105.11
947,89.4
949,128.63
950,147.02
952,23.74
953,52.59
954,38.81
955,38.73
956,47.81
959,108.91
960,118.3
962,35.31
963,76.2
964,160.7
965,68.65
966,130.35
968,13.17
971,84.26
972,100.78
973,71.28
975,80.73
976,93.12
977,132.52
978,71.16
979,95.48
981,102.2
983,134.73
984,159.22
985,145.59
987,91.39
988,30.57
990,22.85
991,148.82
992,75.52
993,147.06
995,18.33
996,85.86
998,190.56
999,82.01
1000,65.25
1001,75.93
1002,116.46
1003,86.88
1004,40.45
1006,121.2
1007,28.38
1008,137.92
1010,158.37
1011,45.67
1012,73.26
1013,139.39
1014,97.0
1015,81.46
1016,85.77
1017,48.69
1018,69.11
1019,163.52
1020,34.02
1021,109.77
1022,84.51
1024,143.73
1025,102.91
1026,165.51
1027,49.87
1029,110.74
1030,143.18
1031,33.0
1033,97.99
1034,84.53
1035,142.78
1036,101.11
1037,55.67
1038,64.25
1039,168.52
1040,68.77
1041,48.94
1043,74.6
1044,20.96
1045,92.89
1048,172.39
1049,118.66
1050,107.65
1051,14.07
1052,63.74
1053,58.2
1055,56.6
1056,38.99
1058,131.92
1059,140.23
1060,63.98
1061,137.72
1062,41.75
1063,53.14
1064,69.68
1065,28.89
1066,49.07
1067,96.33
1069,74.38
1070,40.68
1071,78.43
1072,80.29
1073,105.9
1075,53.53
1076,74.48
1078,145.57
1079,110.5
1080,93.49
1082,52.17
1084,62.63
1085,119.4
1086,10.96
1087,82.87
1088,64.63
1089,94.63
1090,94.42
1091,73.52
1092,160.17
1093,153.1
1094,80.91
1096,31.86
1097,106.92
1098,78.83
1099,91.75
1100,57.53
1102,106.9
1103,105.08
1107,44.43
1108,73.03
1109,87.55
1110,90.7
1111,136.91
1112,106.61
1113,111.38
1114,127.8
1115,37.82
1116,57.01
1117,30.83
1119,100.67
1120,184.62
1121,178.18
1122,124.9
1123,39.27
1127,88.05
1128,127.56
1129,71.73
1130,10.86
1131,58.57
1133,57.88
1135,33.74
1137,156.91
1138,91.73
1140,64.36
1141,77.01
1142,95.64
1143,140.75
1144,52.96
1145,77.03
1146,28.65
1147,158.37
1148,50.84
1150,53.54
1151,107.6
1152,70.32
1153,80.16
1154,167.03
1156,43.69
1157,160.24
1158,75.91
1159,70.55
1160,113.43
1161,26.79
1162,64.63
1164,124.63
1165,66.34
1167,113.95
1168,109.1
1170,46.4
1171,118.63
1172,115.33
1173,77.4
1175,113.87
1176,83.1
1177,56.22
1179,58.64
1181,136.77
1182,83.72
1183,82.96
1184,60.31
1185,35.21
1186,123.81
1187,95.92
1188,153.66
1189,168.71
1191,132.7
1192,99.94
1193,57.5
1195,74.31
1196,97.12
1197,44.41
1198,11.64
1199,81.12
1200,108.64
1202,91.56
1203,116.84
1205,62.47
1206,69.71
1207,168.47
1208,147.05
1209,89.32
1210,31.38
1211,65.13
1213,15.05
1214,67.35
1215,53.1
1216,33.82
1217,28.56
1220,166.96
1223,31.46
1225,56.28
1226,69.35
1228,82.97
1229,93.65
1230,46.04
1231,29.32
1232,91.95
1233,74.08
1234,3.66
1235,149.08
1237,86.22
1238,21.22
1239,19.66
1240,46.36
1241,49.61
1243,57.14
1244,103.82
1245,71.05
1246,46.95
1247,60.82
1249,104.55
1251,95.3
1252,53.84
1254,101.59
1255,63.4
1256,123.81
1260,47.58
1262,108.47
1263,130.51
1264,80.34
1267,133.13
1268,174.9
1269,121.53
1270,60.61
1271,70.12
1272,115.27
1274,74.19
1277,43.31
1279,131.4
1280,61.73
1281,137.77
1282,20.21
1283,37.07
1284,114.21
1286,33.35
1287,33.96
1288,24.23
1289,86.43
1290,41.63
1292,181.55
1294,29.98
1295,106.5
1297,68.47
1299,109.87
1301,60.33
1302,54.25
1304,108.78
1305,142.39
1307,17.6
1310,97.68
1311,121.13
1312,196.36
1313,38.28
1318,80.82
1320,137.53
1321,44.35
1322,74.74
1323,53.86
1325,119.63
1327,37.58
1328,18.03
1330,154.62
1331,131.32
1333,160.16
1334,184.9
1335,78.17
1336,171.01
1337,84.84
1338,86.36
